cluster,n_cells,median_same_original_cocluster_frequency,min_same_original_cocluster_frequency,max_same_original_cocluster_frequency,median_outside_cocluster_frequency
0,1197,0.669763445854187,0.0008361203945241868,0.6845349073410034,0.004632710013538599
1,489,0.9691104292869568,0.1758500188589096,0.9691104292869568,0.0124796899035573
2,445,0.7381547689437866,0.0125125115737319,0.7381548285484314,0.016128767281770706
3,347,1.0,1.0,1.0,0.0012277471832931042
4,163,0.9803383946418762,0.16255146265029907,0.9803383946418762,0.03426327183842659
5,36,1.0,1.0,1.0,0.0005839172517880797
6,13,0.9783950448036194,0.7407407164573669,0.9783950448036194,0.0002067568275379017
7,10,0.7942387461662292,0.21399177610874176,0.7942387461662292,0.034324660897254944
